incident_id,resource,value,type,recommendation
1,ONT,-28.428104535153444,DISCONNECT,Inspect connector
2,OLT,-3.3647226776612804,LOSS_HIGH,Replace SFP
3,PM,-16.98965767591799,BREAK,Inspect connector
4,PBO,-16.263963481968197,DISCONNECT,Test OTDR
5,SPLITTER,-3.600725932854207,LOSS_HIGH,Check splice
6,OLT,2.1449251250893013,BREAK,Test OTDR
7,PON,3.2825008075891944,BREAK,Test OTDR
8,ONT,-9.800709488658772,RX_LOW,Test OTDR
9,PBO,-17.500759424482403,RX_LOW,Check splice
10,PON,-2.435781994942726,RX_LOW,Check splice
11,SPLITTER,-21.21495158581949,BREAK,Verify PM/PBO wiring
12,OLT,-10.257408990826878,LOSS_HIGH,Inspect connector
13,SPLITTER,-17.44975384662944,RX_LOW,Inspect connector
14,OLT,-7.017912420224338,LOSS_HIGH,Verify PM/PBO wiring
15,PM,-21.58603804872726,RX_LOW,Verify PM/PBO wiring
16,ONT,-23.2942468992811,DISCONNECT,Test OTDR
17,PM,2.1383680336402975,DISCONNECT,Verify PM/PBO wiring
18,PM,-26.436871096766208,RX_LOW,Replace SFP
19,SPLITTER,-12.291473229277393,BREAK,Inspect connector
20,ONT,-22.270152596294686,RX_LOW,Verify PM/PBO wiring
21,OLT,-28.63745128360164,RX_LOW,Replace SFP
22,OLT,-28.739341359800076,BREAK,Replace SFP
23,PBO,-23.867237976296042,DISCONNECT,Replace SFP
24,PON,0.33696240771000774,LOSS_HIGH,Replace SFP
25,PBO,-20.113243960804066,RX_LOW,Test OTDR
26,PBO,3.2660709701353525,BREAK,Replace SFP
27,OLT,-9.643219745378225,RX_LOW,Test OTDR
28,SPLITTER,-14.718503358093187,BREAK,Test OTDR
29,PM,-9.696890786569089,LOSS_HIGH,Replace SFP
30,PM,-11.915556517080628,LOSS_HIGH,Inspect connector
31,PM,-3.4428311184936184,DISCONNECT,Replace SFP
32,ONT,-20.112637690950173,BREAK,Replace SFP
33,OLT,-17.643236293989418,BREAK,Replace SFP
34,SPLITTER,1.2933005886637758,DISCONNECT,Inspect connector
35,ONT,3.125977960264194,DISCONNECT,Check splice
36,PON,1.2395379620266063,BREAK,Check splice
