pm_id,type,capacity,location
1,PIO,12,Loc_1
2,PIO,48,Loc_2
3,PBO,12,Loc_3
4,PIO,96,Loc_4
5,PBI,24,Loc_5
6,PBI,12,Loc_6
7,PM,48,Loc_7
8,PIO,96,Loc_8
9,PBO,12,Loc_9
10,PBI,96,Loc_10
11,PBI,48,Loc_11
12,PBO,48,Loc_12
13,PBO,96,Loc_13
14,PBI,12,Loc_14
15,PBI,24,Loc_15
16,PBO,48,Loc_16
17,PBI,12,Loc_17
18,PM,12,Loc_18
19,PM,24,Loc_19
20,PBO,48,Loc_20
21,PIO,48,Loc_21
22,PBO,12,Loc_22
23,PBO,12,Loc_23
24,PIO,24,Loc_24
25,PIO,24,Loc_25
26,PIO,48,Loc_26
27,PM,96,Loc_27
28,PBI,48,Loc_28
29,PM,12,Loc_29
30,PBI,48,Loc_30
31,PM,96,Loc_31
32,PBI,24,Loc_32
33,PM,96,Loc_33
34,PIO,96,Loc_34
35,PBO,96,Loc_35
36,PM,24,Loc_36
37,PBI,96,Loc_37
38,PIO,96,Loc_38
39,PM,96,Loc_39
40,PM,12,Loc_40
41,PIO,96,Loc_41
42,PM,24,Loc_42
43,PBO,96,Loc_43
44,PM,96,Loc_44
45,PBO,24,Loc_45
46,PBO,96,Loc_46
47,PIO,24,Loc_47
48,PM,96,Loc_48
49,PIO,24,Loc_49
50,PM,96,Loc_50
