pon_id,olt_id,port_index,tx_power
1,9,10,1.8076723421160816
2,2,10,1.1297844942179631
3,20,12,1.5078308278686894
4,15,13,1.4937521256772024
5,7,3,2.3926085456795767
6,12,15,2.424541179848884
7,8,16,1.2961738599067998
8,15,7,2.9954809700978835
9,3,1,1.53356202855057
10,14,4,2.953229911665306
11,17,13,1.8220740266364626
12,4,16,1.0661014658010968
13,18,4,1.690142496053366
14,8,14,2.2687026894027276
15,4,5,2.3614109031095336
16,2,7,2.0618691666342728
17,6,7,1.8955663291461833
18,10,13,2.105786178142656
19,4,15,2.185393447758787
20,18,11,1.1617066526654305
21,12,13,1.739308912122809
22,2,4,1.4843198765548518
23,10,13,2.6062795127597917
24,4,16,1.9406012688920768
25,14,7,2.966846281789686
26,16,11,1.7976488848891061
27,15,3,2.632863746438768
28,8,6,2.596690249969102
29,14,12,1.301435087930859
30,8,2,2.016397553481437
31,16,10,2.3916256135817635
32,13,13,2.7167176096274397
33,18,14,1.6519178104037695
34,15,9,1.4404820951310966
35,13,5,2.422299064876036
36,9,6,2.619002092279431
37,15,12,1.6973319745834587
38,13,12,1.1923531021828415
39,1,12,2.881046528979208
40,7,12,1.7951440421750446
41,9,4,2.03550270105496
42,1,14,2.675420211814656
43,12,14,2.3513802340785617
44,8,11,2.4704322384815445
45,11,16,1.4181432414754274
46,19,10,2.082895947655132
47,17,7,2.391568798690164
48,8,12,1.4571000435945993
49,3,9,1.3499098541918724
50,3,7,2.9643366866588714
51,1,14,2.0332717825420286
52,5,1,1.521658349660818
53,10,1,2.9925073995158487
54,7,9,2.9308387025775873
55,9,11,2.116586907214195
56,7,14,2.7652726863786796
57,9,9,1.3774142166827588
58,8,4,1.5577427051843638
59,12,13,2.4007156599455426
60,2,9,2.693322284476612
61,1,3,2.712648583756185
62,16,7,1.8090162542443802
63,5,6,2.7755401975219196
64,3,8,2.7018568975350252
65,12,11,2.8712699884418953
66,8,9,2.570681302227887
67,3,14,2.337976509428457
68,1,5,2.1613732428729096
69,3,1,1.7445655331234862
70,5,3,2.8802668849155566
71,15,10,2.9473276735106344
72,14,12,1.5678419494749314
73,3,8,1.610727720688787
74,1,15,1.9712275071724532
75,5,11,1.8968482859724947
76,14,6,2.9889149252216414
77,7,16,1.3518505053546908
78,9,16,1.0361507272310417
79,15,8,1.9877874303668692
80,15,9,1.3576454184426576
